timestamp,src_ip,username,login_attempts,login_success,distinct_usernames_from_ip_1h,session_duration_sec,bytes_out,bytes_in,distinct_dst_ports_1h,dst_port,hour_of_day,label,attack_type
2026-01-15 08:37:25,34.117.248.94,user031,6,1,1,318.6068779985744,67542.90131885596,121564.43917642185,1,443,8,0,none
2026-02-28 07:31:47,10.0.23.166,user028,1,1,1,459.7431179186357,91622.87492517805,93015.81804341287,2,80,7,0,none
2026-01-10 19:27:07,10.0.0.75,user072,2,1,1,307.92225483361835,21559.930749123072,84620.42483562499,2,8080,19,0,none
2026-02-10 10:20:45,10.0.30.234,user031,1,1,1,119.9268757458006,45811.70304602661,93389.7962757117,3,445,10,0,none
2026-01-02 12:16:45,126.230.11.123,user024,3,1,1,574.0031740977225,122896.83053384861,12285.040531589286,3,8080,12,0,none
2026-02-19 10:50:46,145.225.140.101,user063,1,1,1,337.0347070109798,83116.02663375912,123822.93803365421,3,80,10,0,none
2026-02-10 08:34:05,53.87.242.252,user092,4,1,1,371.8120511314546,36997.19045655473,99295.4494932981,1,445,8,0,none
2026-02-11 15:41:46,10.0.21.169,user065,3,1,1,652.4686124432509,13027.79939224248,31339.33396799602,1,53,15,0,none
2026-01-31 22:58:48,10.0.16.151,user012,3,1,1,344.4749083228197,50342.73546083939,39718.47102859563,1,443,22,0,none
2026-02-11 23:26:00,191.163.201.31,user039,1,1,1,3751.7669340398415,3260234.587087144,28560.909964680985,1,443,23,1,data_exfiltration
2026-02-24 13:36:29,10.0.26.181,user063,1,1,1,101.15080586435641,29086.524624344107,18362.427897920556,1,8080,13,0,none
2026-02-04 16:05:07,10.0.36.204,user033,1,1,1,582.5868497869193,41048.999043705284,100951.7396413901,2,445,16,0,none
2026-01-03 13:28:16,10.0.2.108,user068,1,1,1,613.8876138778048,16946.90653808431,170454.5929916828,2,443,13,0,none
2026-01-09 18:52:29,10.0.1.117,user088,2,1,1,317.6152779242095,52990.15679132409,108535.65735838591,2,8080,18,0,none
2026-01-09 15:47:00,70.165.84.24,user003,1,0,50,19.418162017626994,2945.7300566384006,1710.4047689774018,1,443,15,1,credential_stuffing
2026-02-13 18:52:28,10.0.14.221,user071,1,1,1,522.9113798893441,29466.469712453363,71049.75617471767,3,8080,18,0,none
2026-01-02 07:35:00,10.0.39.175,user068,1,0,49,11.74741567626996,3821.3265148573164,4994.042302466451,1,443,7,1,credential_stuffing
2026-02-03 21:56:22,10.0.33.186,user051,2,1,1,306.7984459264276,78710.28550841848,92280.2426906364,3,80,21,0,none
2026-01-20 15:47:03,10.0.19.180,user098,1,1,1,411.41093672932254,13166.178346269524,58227.12830909004,1,80,15,0,none
2026-01-22 16:47:57,10.0.8.104,user026,1,1,1,780.2844322924934,89303.76328007263,71189.00831520474,3,8080,16,0,none
2026-02-07 10:41:30,10.0.15.90,user012,3,0,1,517.4727193852016,49100.898213583605,43908.496486097974,3,3389,10,0,none
2026-01-03 07:24:58,10.0.28.218,user100,2,1,1,605.8691422893381,87477.63314274469,160218.5002155729,1,445,7,0,none
2026-01-19 08:41:47,138.254.167.193,user105,2,1,1,266.29417416363503,3067.8725219600165,35120.10271090203,2,3389,8,0,none
2026-01-05 05:40:48,165.57.223.75,user060,2,1,1,172.9579898578106,72880.7862624161,85207.9497466287,2,22,5,0,none
2026-01-02 07:19:54,10.0.4.169,user117,3,1,1,510.57515830697884,84614.61089272823,6000.629017197163,1,443,7,0,none
2026-01-21 19:23:59,51.15.137.33,user068,3,1,1,117.24543580929668,12834.880783783257,155042.22540303093,1,80,19,0,none
2026-02-08 10:57:53,10.0.37.77,user090,3,1,1,180.49391646036236,27370.41123658158,15247.641805999461,3,3389,10,0,none
2026-02-08 01:41:00,10.0.6.105,user069,1,1,1,3182.7130330295454,4323193.441174399,30609.03891435193,2,443,1,1,data_exfiltration
2026-01-04 05:59:05,10.0.31.24,user005,2,1,1,229.04530717590947,45954.51516455984,56962.02595002421,3,443,5,0,none
2026-01-15 03:14:27,32.206.50.4,user109,2,1,1,569.3134275643331,9791.81113162468,28141.10687700956,3,443,3,0,none
2026-02-08 02:48:00,38.70.187.123,user092,1,1,1,1006.9327160130899,5770630.514141714,17894.137396223032,1,443,2,1,data_exfiltration
2026-02-06 10:19:37,10.0.7.85,user098,2,1,1,454.1976571678983,80987.60954546512,75997.03492556595,3,22,10,0,none
2026-01-27 15:36:41,10.0.15.232,user040,1,1,1,264.9318644518014,14469.123538701286,135477.44432182287,3,80,15,0,none
2026-01-08 14:23:05,10.0.18.33,user055,1,1,1,215.3129868079132,82157.48224379006,109231.02115735292,1,22,14,0,none
2026-01-09 10:40:41,10.0.4.40,user055,1,1,1,260.86708118851055,65720.23609673083,124967.88199247816,2,445,10,0,none
2026-02-22 06:34:35,130.103.195.121,user055,2,0,1,319.12704657152875,11258.577860772333,48100.15434643558,1,3389,6,0,none
2026-02-19 17:08:37,92.127.79.232,user079,1,1,1,746.6415628072144,50159.690198813216,151275.84903459705,1,22,17,0,none
2026-01-21 21:25:15,10.0.3.171,user117,4,1,1,531.7346111568736,61441.46856808479,111178.89572991597,2,53,21,0,none
2026-01-16 12:49:54,10.0.19.59,user084,4,1,1,475.8477157536822,32597.505092918793,3374.872983512396,1,22,12,0,none
2026-01-12 10:24:36,10.0.16.14,user008,2,1,1,229.55677311569582,55423.986711087295,66233.44065711884,2,8080,10,0,none
2026-01-07 12:31:35,10.0.3.198,user078,2,1,1,193.92974602165216,76473.8345019742,108258.10627118676,3,22,12,0,none
2026-02-09 13:30:00,41.83.7.99,user048,1,0,88,13.430523941162523,2881.5189231026975,2494.1430805375703,1,443,13,1,credential_stuffing
2026-02-20 08:35:04,10.0.37.205,user033,4,1,1,468.225442383027,863.1959971665492,40738.06406221775,1,22,8,0,none
2026-01-05 11:42:43,10.0.48.93,user081,3,1,1,286.64332121407585,74233.48034439993,127497.01369932348,1,8080,11,0,none
2026-02-22 08:57:31,10.0.25.34,user082,1,1,1,708.0553176542753,52331.38992835157,85094.56344282476,1,8080,8,0,none
2026-02-09 00:53:00,83.55.152.252,user011,1,1,1,2026.2733467888518,24087.38013078498,42466.73873850254,1,3389,0,1,offhours_privileged_access
2026-01-03 14:12:59,10.0.34.217,user024,1,1,1,426.40168919266364,54614.64817745001,43031.826617875304,3,80,14,0,none
2026-01-05 16:24:18,10.0.27.212,user003,1,1,1,584.969807473849,7076.440273262735,67906.07462901581,2,445,16,0,none
2026-01-09 16:59:28,57.181.43.251,user016,3,1,1,551.4492902551993,72881.96219548522,7312.613822085506,3,443,16,0,none
2026-01-17 09:09:54,10.0.47.228,user027,2,1,1,411.5877416449981,58561.826766066144,82337.35710319462,1,53,9,0,none
2026-01-15 15:06:33,10.0.18.141,user046,2,1,1,478.27952554833666,28682.27393453476,110994.4650937228,2,3389,15,0,none
2026-01-17 13:49:29,10.0.42.240,user119,2,1,1,547.8783322172271,107608.84715696564,41313.65933294843,3,80,13,0,none
2026-01-10 10:23:00,95.178.199.54,N/A,0,0,0,1.0845680550243935,222.4523748581824,41.66162734038685,496,27444,10,1,port_scan
2026-01-29 13:22:59,178.33.207.108,user049,2,1,1,534.9847950046752,24989.541090121453,67592.20582395616,1,443,13,0,none
2026-02-26 18:05:02,182.1.143.115,user096,3,1,1,575.9168443570886,68416.28675279678,70872.13351054041,2,445,18,0,none
